id_persona,genero,edad,nacionalidad,categoria_municipio,ingresos,actividad
1,otro,23,1,2,2485189,Estudiante
2,m,30,1,6,2608735,Estudiante
3,otro,40,1,2,6707869,Independiente
4,otro,26,2,4,13526365,Independiente
5,m,34,1,6,11332100,Ama de casa
6,m,19,1,5,15598939,Independiente
7,otro,36,1,5,14261884,Estudiante
8,f,36,2,4,16076249,Independiente
9,otro,24,1,4,2969376,Empleado
10,otro,59,2,6,6211851,Otro
11,otro,59,1,3,13111678,Ama de casa
12,otro,37,1,6,16570417,Estudiante
13,m,26,1,3,18527677,Estudiante
14,otro,34,1,3,12253883,Empleado
15,f,44,1,3,7049085,Ama de casa
16,m,19,1,6,1676154,Otro
17,f,53,2,1,6534478,Ama de casa
18,f,36,1,1,10846109,Ama de casa
19,f,34,1,5,6859546,Estudiante
20,f,22,1,1,10550488,Independiente
21,m,56,2,1,5564503,Otro
22,m,35,1,3,6626572,Ama de casa
23,f,24,2,3,12620625,Empleado
24,f,34,1,4,11033513,Estudiante
25,m,56,1,3,1633582,Independiente
26,m,53,2,6,10450935,Independiente
27,m,57,2,4,17984564,Estudiante
28,otro,62,1,4,16737070,Ama de casa
29,otro,21,2,1,19193879,Estudiante
30,otro,55,2,3,21754555,Independiente
31,f,42,1,1,17176680,Independiente
32,otro,22,1,3,5726313,Empleado
33,f,47,1,1,7258870,Empleado
34,f,29,2,1,4590365,Independiente
35,otro,21,1,1,16170809,Empleado
36,f,41,1,6,12835011,Empleado
37,otro,46,2,5,17119171,Empleado
38,otro,26,2,1,3671474,Independiente
39,m,21,1,2,8992971,Ama de casa
40,otro,41,2,2,11855425,Ama de casa
41,m,31,2,2,19673313,Otro
42,otro,22,2,6,7273278,Empleado
43,otro,35,1,4,21180195,Ama de casa
44,m,59,1,1,15237922,Otro
45,m,36,1,2,1675138,Estudiante
46,otro,29,2,6,17498122,Empleado
47,f,35,1,4,1638555,Ama de casa
48,m,34,1,2,17853861,Ama de casa
49,f,47,2,3,12725099,Ama de casa
50,f,41,2,5,12686191,Otro
51,f,28,1,1,2510963,Estudiante
52,m,52,2,5,19323447,Empleado
53,f,40,1,5,3053271,Ama de casa
54,m,34,1,3,3978630,Independiente
55,f,18,1,3,13355107,Empleado
56,otro,32,2,3,13938891,Independiente
57,otro,49,2,4,16628394,Otro
58,m,26,1,2,7965219,Ama de casa
59,otro,32,1,1,11650804,Empleado
60,otro,45,1,3,10676636,Empleado
61,f,41,1,6,2088593,Ama de casa
62,m,52,2,1,11548159,Estudiante
63,f,39,1,1,10613493,Otro
64,f,44,1,1,21136033,Ama de casa
65,f,36,2,3,17579371,Empleado
66,f,62,1,3,21272964,Estudiante
67,f,29,1,2,17409429,Empleado
68,f,37,1,3,10269824,Independiente
69,f,18,1,3,15399719,Empleado
70,m,38,1,1,15902913,Otro
71,otro,62,2,2,14190746,Ama de casa
72,f,18,2,5,10024494,Empleado
73,f,27,2,3,3606544,Independiente
74,f,49,2,6,12555397,Independiente
75,f,56,1,3,11974779,Ama de casa
76,f,39,2,5,7190619,Independiente
77,f,35,2,1,2344573,Ama de casa
78,otro,49,2,2,7516586,Otro
79,otro,44,2,1,18076351,Ama de casa
80,f,45,2,4,12602559,Estudiante
81,otro,35,2,3,13664981,Independiente
82,m,56,2,6,14286213,Independiente
83,f,46,2,4,3476622,Empleado
84,m,35,1,3,9886334,Estudiante
85,m,61,2,4,6247308,Empleado
86,f,25,1,5,16055977,Ama de casa
87,otro,48,2,3,17377926,Otro
88,m,51,2,6,20443369,Independiente
89,f,24,2,3,7294804,Otro
90,m,53,1,4,5887361,Ama de casa
91,m,35,1,2,14474659,Ama de casa
92,m,55,2,4,21896959,Estudiante
93,m,26,1,3,21931293,Empleado
94,otro,26,2,3,4499128,Independiente
95,m,25,1,2,14119300,Independiente
96,m,52,1,1,9879565,Otro
97,m,35,1,2,1630588,Estudiante
98,otro,22,2,1,10599884,Ama de casa
99,m,31,1,6,21380516,Estudiante
100,m,45,1,3,8453629,Independiente
101,otro,47,2,5,18185498,Empleado
102,otro,21,1,5,4460631,Otro
103,otro,56,2,4,1966737,Ama de casa
104,m,37,2,2,15829611,Ama de casa
105,otro,42,1,2,17039172,Ama de casa
106,otro,45,2,5,9014233,Empleado
107,m,29,1,1,6266890,Independiente
108,otro,19,1,2,19046788,Independiente
109,m,60,2,1,14293418,Estudiante
110,f,31,1,1,10494911,Estudiante
111,otro,39,1,1,9308639,Independiente
112,f,48,2,1,5980199,Ama de casa
113,m,40,2,4,5849809,Empleado
114,otro,37,1,4,13620393,Independiente
115,m,55,2,5,13666351,Empleado
116,f,21,2,4,21967128,Otro
117,m,32,2,6,17900696,Ama de casa
118,otro,41,2,2,21901525,Otro
119,otro,42,1,6,8970299,Independiente
120,f,18,1,4,5756386,Estudiante
121,m,24,2,2,4398889,Independiente
122,otro,48,1,2,1512359,Otro
123,f,29,2,1,19723944,Empleado
124,otro,59,2,5,2250159,Independiente
125,otro,22,1,1,20926201,Estudiante
126,m,61,1,1,1437787,Otro
127,otro,59,1,6,10191462,Independiente
128,m,55,1,4,15165977,Otro
129,otro,29,2,6,18344591,Otro
130,f,56,2,4,1521782,Ama de casa
131,otro,35,1,6,2215500,Empleado
132,m,19,2,2,20416330,Ama de casa
133,m,27,1,4,21508243,Otro
134,f,32,1,4,6154332,Estudiante
135,otro,47,1,6,15404965,Estudiante
136,otro,61,2,3,4962429,Ama de casa
137,f,34,2,2,2123408,Estudiante
138,otro,21,1,2,16009433,Otro
139,otro,24,1,3,11122665,Independiente
140,m,58,1,6,1907188,Otro
141,otro,48,1,6,5501324,Independiente
142,otro,56,2,2,14761579,Estudiante
143,f,51,2,6,14531671,Empleado
144,f,23,1,5,7180511,Empleado
145,m,55,1,5,4482044,Otro
146,otro,62,2,3,2433736,Otro
